Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,5696719872,150515712000
"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,6256439808,137257820160
"Feb 11, 2018",8616.13,8616.13,7931.1,8129.97,6122189824,145244585984
"Feb 10, 2018",8720.08,9122.55,8295.47,8621.9,7780960256,146981191680
"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,6784820224,139411996672
"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,9346750464,128714047488
"Feb 07, 2018",7755.49,8509.11,7236.79,7621.3,9169280000,130683248640
"Feb 06, 2018",7051.75,7850.7,6048.26,7754.0,13999800320,118809837568
"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,9285289984,139324735488
"Feb 04, 2018",9175.7,9334.87,8031.22,8277.01,7073549824,154553286656
"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,7263790080,149085257728
"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,12726899712,153952600064
"Feb 01, 2018",10237.3,10288.8,8812.28,9170.54,9959400448,172372410368
"Jan 31, 2018",10108.2,10381.6,9777.42,10221.1,8041160192,170183426048
"Jan 30, 2018",11306.8,11307.2,10036.2,10106.3,8637859840,190339072000
"Jan 29, 2018",11755.5,11875.6,11179.2,11296.4,7107359744,197870944256
"Jan 28, 2018",11475.3,12040.3,11475.3,11786.3,8350360064,193133117440
"Jan 27, 2018",11174.9,11614.9,10989.2,11440.7,7583269888,188054274048
"Jan 26, 2018",11256.0,11656.7,10470.3,11171.4,9746199552,189397811200
"Jan 25, 2018",11421.7,11785.7,11057.4,11259.4,8873169920,192162840576
"Jan 24, 2018",10903.4,11501.4,10639.8,11359.4,9940989952,183418601472
"Jan 23, 2018",10944.5,11377.6,10129.7,10868.4,9660609536,184087085056
"Jan 22, 2018",11633.1,11966.4,10240.2,10931.4,10537400320,195644588032
"Jan 21, 2018",12889.2,12895.9,11288.2,11600.1,9935179776,216740282368
"Jan 20, 2018",11656.2,13103.0,11656.2,12899.2,11801700352,195978788864
"Jan 19, 2018",11429.8,11992.8,11172.1,11607.4,10740400128,192149700608
"Jan 18, 2018",11198.8,12107.3,10942.5,11474.9,15020399616,188241526784
"Jan 17, 2018",11431.1,11678.0,9402.29,11188.6,18830600192,192123404288
"Jan 16, 2018",13836.1,13843.1,10194.9,11490.5,18853799936,232517451776
"Jan 15, 2018",13767.3,14445.5,13641.7,13819.8,12750799872,231334150144
"Jan 14, 2018",14370.8,14511.8,13268.0,13772.0,11084099584,241446797312
"Jan 13, 2018",13952.4,14659.5,13952.4,14360.2,12763599872,234391027712
"Jan 12, 2018",13453.9,14229.9,13158.1,13980.6,12065699840,225986084864
"Jan 11, 2018",14968.2,15018.8,13105.9,13405.8,16534099968,251387068416
"Jan 10, 2018",14588.5,14973.3,13691.2,14973.3,18500800512,244980531200
"Jan 09, 2018",15123.7,15497.5,14424.0,14595.4,16659999744,253935419392
"Jan 08, 2018",16476.2,16537.9,14208.2,15170.1,18413899776,276611596288
"Jan 07, 2018",17527.3,17579.6,16087.7,16477.6,15866000384,294222364672
"Jan 06, 2018",17462.1,17712.4,16764.6,17527.0,18314600448,293090852864
"Jan 05, 2018",15477.2,17705.2,15202.8,17429.5,23840899072,259747708928
"Jan 04, 2018",15270.7,15739.7,14522.2,15599.2,21783199744,256250429440
"Jan 03, 2018",14978.2,15572.8,14844.5,15201.0,16871900160,251311702016
"Jan 02, 2018",13625.0,15444.6,13163.6,14982.1,16846600192,228578836480
"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,10291200000,236724797440
"Dec 31, 2017",12897.7,14377.4,12755.6,14156.4,12136299520,216325586944
"Dec 30, 2017",14681.9,14681.9,12350.1,12952.2,14452599808,246223912960
"Dec 29, 2017",14695.8,15279.0,14307.0,14656.2,13025500160,246427598848
"Dec 28, 2017",15864.1,15888.4,13937.3,14606.5,12336499712,265988489216
"Dec 27, 2017",16163.5,16930.9,15114.3,15838.5,12487600128,270976270336
"Dec 26, 2017",14036.6,16461.2,14028.9,16099.8,13454300160,235294408704
"Dec 25, 2017",13995.9,14593.0,13448.9,14026.6,10664699904,234589569024
